Wall time,Step,Value
1599717525.7012599,1,-53.49824142456055
1599717529.1131377,2,-41.872249603271484
1599717532.5393884,3,-35.62408447265625
1599717535.89931,4,-47.46040725708008
1599717539.156767,5,-38.950016021728516
1599717542.6658003,6,-41.36487579345703
1599717546.0808434,7,-34.45085144042969
1599717549.3985748,8,-37.804115295410156
1599717552.8123474,9,-45.33112335205078
1599717556.393379,10,-37.84189224243164
1599717559.9462907,11,-31.51144790649414
1599717563.3013701,12,-43.9885139465332
1599717566.591787,13,-44.397647857666016
1599717570.021986,14,-39.61220932006836
1599717573.5101695,15,-41.269248962402344
1599717576.9667294,16,-42.96100997924805
1599717580.3555295,17,-29.370990753173828
1599717583.6016583,18,-34.7757682800293
1599717586.8891203,19,-22.96245002746582
1599717590.2492442,20,-45.15684509277344
1599717593.6132078,21,-41.21783447265625
1599717597.0421364,22,-16.482769012451172
1599717600.554185,23,-14.797496795654297
1599717604.0019898,24,-32.468658447265625
1599717607.3270514,25,-28.779972076416016
1599717610.8642514,26,-27.56620979309082
1599717614.304255,27,-28.98844337463379
1599717617.7917886,28,-30.874805450439453
1599717621.2370691,29,-20.7630672454834
1599717624.5807173,30,-25.10285758972168
1599717628.0252068,31,-20.746089935302734
1599717631.4791212,32,-26.580833435058594
1599717634.830524,33,-23.733680725097656
1599717638.1677456,34,-23.816085815429688
1599717641.4645166,35,-21.852779388427734
1599717644.8991933,36,-24.449565887451172
1599717648.323461,37,-28.23039436340332
1599717651.839538,38,-21.59601593017578
1599717655.1695454,39,-16.03160285949707
1599717658.6112082,40,-17.60845375061035
1599717662.0550537,41,-19.788673400878906
1599717665.5564961,42,-23.969146728515625
1599717669.0305347,43,-22.85442543029785
1599717672.4314942,44,-21.508581161499023
1599717675.8636792,45,-20.467784881591797
1599717679.3961766,46,-20.562084197998047
1599717682.929872,47,-14.830793380737305
1599717686.3540833,48,-8.493971824645996
1599717689.7658489,49,-21.43890380859375
1599717693.1014647,50,-24.999582290649414
1599717696.4467306,51,-25.08749771118164
1599717699.9163558,52,-16.552881240844727
1599717703.2994134,53,-19.318696975708008
1599717706.7124395,54,-25.621707916259766
1599717710.160538,55,-23.557960510253906
1599717713.604854,56,-22.78068733215332
1599717716.9407244,57,-5.102753162384033
1599717720.4073045,58,-16.75224494934082
1599717723.810855,59,-29.41883087158203
1599717727.2371397,60,-18.59586524963379
1599717730.5573707,61,-24.724130630493164
1599717734.0650637,62,-15.618010520935059
1599717737.5644112,63,-29.56992530822754
1599717741.1015503,64,-20.845901489257812
1599717744.507166,65,-15.199003219604492
1599717747.8319805,66,-18.485246658325195
1599717751.3175094,67,-18.143857955932617
1599717754.6965375,68,-17.769914627075195
1599717758.1062238,69,-19.29347038269043
1599717761.459495,70,-19.882003784179688
1599717764.8144207,71,-15.221668243408203
1599717768.1668556,72,-20.38713264465332
1599717771.5940838,73,-10.304485321044922
1599717774.8896635,74,-21.116973876953125
1599717778.252039,75,-24.14236831665039
1599717781.7507756,76,-16.824291229248047
1599717785.2056282,77,-18.107587814331055
1599717788.6402898,78,-22.165145874023438
1599717792.0526202,79,-20.818572998046875
1599717795.3782227,80,-28.917510986328125
1599717798.8886616,81,-14.373112678527832
1599717802.4606712,82,-29.735031127929688
1599717805.9872317,83,-19.00813865661621
1599717809.3840435,84,-15.316001892089844
1599717812.7570813,85,-16.858510971069336
1599717816.162491,86,-20.431882858276367
1599717819.5744667,87,-23.910266876220703
1599717822.9773338,88,-30.12551498413086
1599717826.502169,89,-23.819982528686523
1599717830.3133261,90,-15.040651321411133
1599717833.8036416,91,-30.404834747314453
1599717837.1363552,92,-22.302249908447266
1599717840.6611335,93,-24.064468383789062
1599717844.221223,94,-19.467193603515625
1599717847.9661045,95,-12.621949195861816
1599717851.3942032,96,-27.44231414794922
1599717854.85123,97,-18.349397659301758
1599717858.246439,98,-20.062084197998047
1599717861.5295897,99,-17.7794189453125
