Wall time,Step,Value
1600863499.413399,1,-51.13417053222656
1600863513.7878573,2,-46.3319206237793
1600863528.2741747,3,-41.18553161621094
1600863542.5092342,4,-42.584808349609375
1600863557.1752799,5,-49.10218048095703
1600863572.0080996,6,-45.445255279541016
1600863586.8533843,7,-40.77376937866211
1600863602.3638191,8,-39.20658874511719
1600863616.5424397,9,-37.97846221923828
1600863630.7274485,10,-35.72247314453125
1600863646.6363316,11,-37.388431549072266
1600863662.581495,12,-41.81033706665039
1600863676.8435388,13,-33.033084869384766
1600863691.1058493,14,-40.04475021362305
1600863705.3498948,15,-34.82825469970703
1600863720.7836456,16,-37.20527267456055
1600863736.0653949,17,-32.840694427490234
1600863750.4657168,18,-35.985042572021484
1600863764.6840029,19,-31.65220069885254
1600863779.5121193,20,-29.442453384399414
1600863793.4652557,21,-33.79358673095703
1600863807.4107504,22,-31.595705032348633
1600863821.9507298,23,-26.963163375854492
1600863837.528438,24,-28.471982955932617
1600863851.429115,25,-27.82513427734375
1600863865.38398,26,-26.876136779785156
1600863879.4795475,27,-24.282711029052734
1600863894.5992723,28,-31.2907772064209
1600863909.6945813,29,-24.423091888427734
1600863923.88188,30,-26.971588134765625
1600863944.0889428,31,-26.985427856445312
1600863959.7253716,32,-26.080209732055664
1600863974.2187855,33,-27.396997451782227
1600863995.75008,34,-27.566102981567383
1600864014.0804985,35,-28.776538848876953
1600864028.9964097,36,-24.9521427154541
1600864043.9468544,37,-25.880693435668945
1600864069.087732,38,-23.589115142822266
1600864085.3285775,39,-26.92943000793457
1600864099.871896,40,-27.937471389770508
1600864115.057773,41,-24.34642219543457
1600864136.24161,42,-26.64020347595215
1600864149.8539402,43,-26.220590591430664
1600864161.6443865,44,-28.636472702026367
1600864173.2404892,45,-25.050628662109375
1600864184.3974025,46,-28.32094383239746
1600864196.1511004,47,-24.990333557128906
1600864207.9558055,48,-24.969221115112305
1600864219.7306223,49,-27.57498550415039
1600864231.140193,50,-28.5203800201416
1600864243.4522488,51,-26.148950576782227
1600864254.7526217,52,-25.917579650878906
1600864266.7503064,53,-23.723819732666016
1600864278.5426085,54,-22.364423751831055
1600864291.9528766,55,-26.5037899017334
1600864305.27144,56,-28.843578338623047
1600864318.7783406,57,-27.24968910217285
1600864332.1328456,58,-25.198318481445312
1600864344.4287524,59,-23.9344482421875
1600864356.0135877,60,-25.48908805847168
1600864367.1961293,61,-29.088905334472656
1600864378.3201432,62,-25.42674446105957
1600864390.669472,63,-26.448610305786133
1600864403.0416782,64,-26.139284133911133
1600864415.8773084,65,-27.849546432495117
1600864428.3515627,66,-24.262575149536133
1600864440.3450701,67,-26.9346923828125
1600864451.5436301,68,-25.03322982788086
1600864462.765144,69,-23.53421974182129
1600864474.2544043,70,-23.651893615722656
1600864486.3300252,71,-27.268625259399414
1600864499.0643463,72,-26.808368682861328
1600864511.4782867,73,-27.42749786376953
1600864523.8152568,74,-26.34845733642578
1600864536.0473669,75,-27.062700271606445
1600864547.4944344,76,-26.653554916381836
1600864559.0876849,77,-24.06812858581543
1600864571.3632884,78,-24.160587310791016
1600864587.3231213,79,-25.066335678100586
1600864603.206437,80,-25.948074340820312
1600864617.5711017,81,-27.28815269470215
1600864631.6951916,82,-26.539873123168945
1600864645.7144206,83,-25.70969009399414
1600864660.2808192,84,-25.66411590576172
1600864674.6065798,85,-24.69249153137207
1600864688.7571836,86,-24.650171279907227
1600864702.7836354,87,-25.978666305541992
1600864717.1451423,88,-30.476240158081055
1600864731.5583704,89,-25.541345596313477
1600864745.381004,90,-27.585432052612305
1600864759.1826382,91,-28.17844009399414
1600864772.6033397,92,-27.36745262145996
1600864786.7306206,93,-25.597490310668945
1600864803.229168,94,-30.73284339904785
1600864818.3181455,95,-27.40574836730957
1600864836.7709694,96,-24.19055938720703
1600864852.5093484,97,-25.46185874938965
1600864867.9072356,98,-27.518598556518555
1600864883.7911525,99,-27.961938858032227
1600864899.2508254,100,-27.878997802734375
1600864913.9290586,101,-24.41431999206543
1600864929.2108986,102,-28.20549201965332
1600864944.6187232,103,-23.708703994750977
1600864960.9243288,104,-25.669740676879883
1600864977.5421808,105,-22.716894149780273
1600864992.7854676,106,-26.668556213378906
1600865010.991442,107,-27.734004974365234
1600865034.5858335,108,-28.277847290039062
1600865050.4275277,109,-26.237199783325195
1600865065.3293092,110,-28.479541778564453
