Wall time,Step,Value
1599197627.8328567,1,-43.945899963378906
1599197639.4495168,2,-42.72476577758789
1599197650.9014769,3,-43.47554397583008
1599197663.2390227,4,-40.072052001953125
1599197675.0151496,5,-41.57419204711914
1599197686.9406497,6,-38.47380828857422
1599197699.2434077,7,-43.7916259765625
1599197710.7374656,8,-37.80331802368164
1599197721.606642,9,-37.47985076904297
1599197733.1381123,10,-41.51217269897461
1599197745.1670332,11,-34.90864562988281
1599197756.0555182,12,-37.09184646606445
1599197766.6592314,13,-38.23739242553711
1599197777.2967787,14,-34.5237922668457
1599197788.0153117,15,-40.186885833740234
1599197798.8700736,16,-32.06049728393555
1599197809.3987868,17,-38.95287322998047
1599197819.7930138,18,-37.58171081542969
1599197830.3140295,19,-37.7358283996582
1599197841.3109288,20,-27.97808837890625
1599197851.785927,21,-34.7892951965332
1599197862.4057195,22,-29.25908851623535
1599197872.8298662,23,-33.6802864074707
1599197884.0429618,24,-35.704647064208984
1599197894.600793,25,-29.876853942871094
1599197905.1006668,26,-32.919036865234375
1599197915.5730464,27,-28.717247009277344
1599197926.1065152,28,-31.451353073120117
1599197937.024313,29,-26.218013763427734
1599197947.5245883,30,-28.310638427734375
1599197957.9612505,31,-28.218740463256836
1599197969.019466,32,-29.20057487487793
1599197980.5223527,33,-21.961153030395508
1599197991.6437013,34,-26.785579681396484
1599198002.2209253,35,-26.094404220581055
1599198013.4042768,36,-26.26868438720703
1599198025.1606603,37,-21.152376174926758
1599198035.6883266,38,-29.287137985229492
1599198046.5855374,39,-29.16907501220703
1599198057.5222964,40,-27.81882095336914
1599198069.2382994,41,-25.82040786743164
1599198079.7377264,42,-25.367542266845703
1599198090.7328212,43,-23.86747169494629
1599198101.1086593,44,-25.782522201538086
1599198111.9876902,45,-30.844709396362305
1599198122.2515867,46,-20.84814453125
1599198133.1600525,47,-28.981538772583008
1599198143.9467516,48,-26.47337532043457
1599198154.286975,49,-23.777658462524414
1599198164.773834,50,-28.046459197998047
1599198175.7435517,51,-28.511810302734375
1599198186.120748,52,-29.225887298583984
1599198196.418572,53,-27.233867645263672
1599198207.0687523,54,-25.841062545776367
1599198217.435659,55,-28.92237091064453
1599198227.711901,56,-29.033884048461914
1599198238.0508878,57,-26.148099899291992
1599198248.4697459,58,-26.54279136657715
1599198258.6172862,59,-31.304197311401367
1599198269.178247,60,-28.614364624023438
1599198279.5559871,61,-28.729145050048828
1599198289.8369496,62,-23.724061965942383
1599198300.9489102,63,-28.523473739624023
1599198311.7915912,64,-29.083688735961914
1599198322.1057034,65,-29.607561111450195
1599198332.4282036,66,-27.250593185424805
1599198343.2769814,67,-25.614988327026367
1599198354.1770298,68,-23.53290367126465
1599198365.2229245,69,-25.43537139892578
1599198376.4274523,70,-18.04149055480957
1599198387.3848336,71,-24.69202995300293
1599198397.7159572,72,-29.504735946655273
1599198407.9353952,73,-28.277347564697266
1599198419.1205287,74,-23.92721939086914
1599198430.4415445,75,-25.317434310913086
1599198440.6545439,76,-25.353374481201172
1599198451.5991662,77,-25.76276397705078
1599198461.831442,78,-29.72566032409668
1599198472.141144,79,-20.071529388427734
1599198483.5408444,80,-26.522459030151367
1599198494.235861,81,-25.303773880004883
1599198513.4689045,82,-27.682607650756836
1599198531.9869428,83,-26.483694076538086
1599198543.520208,84,-23.781129837036133
1599198554.4544177,85,-24.410308837890625
1599198565.7965448,86,-20.99689483642578
1599198576.8167868,87,-25.089664459228516
1599198587.366596,88,-26.581247329711914
1599198598.5989008,89,-26.171648025512695
1599198609.274133,90,-28.25916290283203
1599198619.9303963,91,-27.995723724365234
1599198631.4142632,92,-19.150131225585938
1599198642.319595,93,-27.038835525512695
1599198653.3978822,94,-26.447463989257812
1599198663.6725729,95,-23.70948028564453
1599198674.372807,96,-25.801923751831055
1599198685.3750057,97,-22.55780029296875
1599198695.6558027,98,-24.891279220581055
1599198707.120171,99,-20.35391616821289
1599198717.9499505,100,-27.26395034790039
